stateFips,stateName,countyFips,countyName,date,totalGrade,visitationGrade,encountersGrade,travelDistanceGrade
01,Alabama,01007,Bibb County,2020-04-19,C-,F,B,C
01,Alabama,01007,Bibb County,2020-04-18,D-,F,C,F
01,Alabama,01007,Bibb County,2020-04-17,D,F,B,F
01,Alabama,01007,Bibb County,2020-04-16,D,F,B,F
01,Alabama,01007,Bibb County,2020-04-15,D,F,B,F
01,Alabama,01007,Bibb County,2020-04-14,D,F,B,F
01,Alabama,01007,Bibb County,2020-04-13,D,F,B,F
01,Alabama,01007,Bibb County,2020-04-12,C,F,A,C
01,Alabama,01007,Bibb County,2020-04-11,D+,F,B,D
01,Alabama,01007,Bibb County,2020-04-10,D+,F,B,D
01,Alabama,01007,Bibb County,2020-04-09,D,F,B,F
01,Alabama,01007,Bibb County,2020-04-08,D+,F,B,D
01,Alabama,01007,Bibb County,2020-04-07,D,F,B,F
01,Alabama,01007,Bibb County,2020-04-06,D+,F,B,D
01,Alabama,01007,Bibb County,2020-04-05,C-,F,B,C
01,Alabama,01007,Bibb County,2020-04-04,D+,F,B,D
01,Alabama,01007,Bibb County,2020-04-03,D,F,C,D
01,Alabama,01007,Bibb County,2020-04-02,D,F,B,F
01,Alabama,01007,Bibb County,2020-04-01,D,F,B,F
01,Alabama,01007,Bibb County,2020-03-31,D+,F,B,D
01,Alabama,01007,Bibb County,2020-03-30,D,F,B,F
01,Alabama,01007,Bibb County,2020-03-29,D+,F,B,D
01,Alabama,01007,Bibb County,2020-03-28,D+,F,B,D
01,Alabama,01007,Bibb County,2020-03-27,D,F,C,D
01,Alabama,01007,Bibb County,2020-03-26,D,F,B,F
01,Alabama,01007,Bibb County,2020-03-25,D,F,B,F
01,Alabama,01007,Bibb County,2020-03-24,D,F,B,F
01,Alabama,01007,Bibb County,2020-03-23,D,F,B,F
01,Alabama,01007,Bibb County,2020-03-22,D+,F,B,D
01,Alabama,01007,Bibb County,2020-03-21,D+,F,B,D
01,Alabama,01007,Bibb County,2020-03-20,D+,F,B,D
01,Alabama,01007,Bibb County,2020-03-19,D-,F,C,F
01,Alabama,01007,Bibb County,2020-03-18,D,F,B,F
01,Alabama,01007,Bibb County,2020-03-17,D-,F,C,F
01,Alabama,01007,Bibb County,2020-03-16,D-,F,C,F
01,Alabama,01007,Bibb County,2020-03-15,D-,F,C,F
01,Alabama,01007,Bibb County,2020-03-14,F,F,D,F
01,Alabama,01007,Bibb County,2020-03-13,F,F,D,F
01,Alabama,01007,Bibb County,2020-03-12,F,F,D,F
01,Alabama,01007,Bibb County,2020-03-11,F,F,D,F
01,Alabama,01007,Bibb County,2020-03-10,F,F,D,F
01,Alabama,01007,Bibb County,2020-03-09,F,F,D,F
01,Alabama,01007,Bibb County,2020-03-08,D-,F,C,F
01,Alabama,01007,Bibb County,2020-03-07,D-,F,C,F
01,Alabama,01007,Bibb County,2020-03-06,F,F,D,F
01,Alabama,01007,Bibb County,2020-03-05,F,F,D,F
01,Alabama,01007,Bibb County,2020-03-04,F,F,D,F
01,Alabama,01007,Bibb County,2020-03-03,F,F,D,F
01,Alabama,01007,Bibb County,2020-03-02,F,F,D,F
01,Alabama,01007,Bibb County,2020-03-01,D-,F,C,F
01,Alabama,01007,Bibb County,2020-02-29,D-,F,C,F
01,Alabama,01007,Bibb County,2020-02-28,F,F,D,F
01,Alabama,01007,Bibb County,2020-02-27,F,F,D,F
01,Alabama,01007,Bibb County,2020-02-26,F,F,D,F
01,Alabama,01007,Bibb County,2020-02-25,F,F,D,F
01,Alabama,01007,Bibb County,2020-02-24,F,F,D,F
01,Alabama,01077,Lauderdale County,2020-04-19,C-,B,F,C
01,Alabama,01077,Lauderdale County,2020-04-18,D+,B,F,D
01,Alabama,01077,Lauderdale County,2020-04-17,D,B,F,F
01,Alabama,01077,Lauderdale County,2020-04-16,D-,C,F,F
01,Alabama,01077,Lauderdale County,2020-04-15,F,D,F,F
01,Alabama,01077,Lauderdale County,2020-04-14,D-,C,F,F
01,Alabama,01077,Lauderdale County,2020-04-13,D,C,F,D
01,Alabama,01077,Lauderdale County,2020-04-12,B,A,C,B
01,Alabama,01077,Lauderdale County,2020-04-11,C,A,F,C
01,Alabama,01077,Lauderdale County,2020-04-10,D+,B,F,D
01,Alabama,01077,Lauderdale County,2020-04-09,D+,B,F,D
01,Alabama,01077,Lauderdale County,2020-04-08,D+,B,F,D
01,Alabama,01077,Lauderdale County,2020-04-07,C-,A,F,D
01,Alabama,01077,Lauderdale County,2020-04-06,D+,B,F,D
01,Alabama,01077,Lauderdale County,2020-04-05,C+,A,D,C
01,Alabama,01077,Lauderdale County,2020-04-04,C-,A,F,D
01,Alabama,01077,Lauderdale County,2020-04-03,D+,B,F,D
01,Alabama,01077,Lauderdale County,2020-04-02,D,C,F,D
01,Alabama,01077,Lauderdale County,2020-04-01,F,D,F,F
01,Alabama,01077,Lauderdale County,2020-03-31,D,C,F,D
01,Alabama,01077,Lauderdale County,2020-03-30,D-,C,F,F
01,Alabama,01077,Lauderdale County,2020-03-29,D+,B,F,D
01,Alabama,01077,Lauderdale County,2020-03-28,C-,B,F,C
01,Alabama,01077,Lauderdale County,2020-03-27,D,C,F,D
01,Alabama,01077,Lauderdale County,2020-03-26,D-,C,F,F
01,Alabama,01077,Lauderdale County,2020-03-25,F,D,F,F
01,Alabama,01077,Lauderdale County,2020-03-24,D+,B,F,D
01,Alabama,01077,Lauderdale County,2020-03-23,D-,C,F,F
01,Alabama,01077,Lauderdale County,2020-03-22,C-,B,F,C
01,Alabama,01077,Lauderdale County,2020-03-21,C+,A,D,C
01,Alabama,01077,Lauderdale County,2020-03-20,C-,A,F,D
01,Alabama,01077,Lauderdale County,2020-03-19,F,D,F,F
01,Alabama,01077,Lauderdale County,2020-03-18,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-03-17,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-03-16,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-03-15,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-03-14,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-03-13,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-03-12,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-03-11,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-03-10,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-03-09,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-03-08,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-03-07,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-03-06,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-03-05,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-03-04,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-03-03,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-03-02,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-03-01,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-02-29,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-02-28,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-02-27,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-02-26,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-02-25,F,F,F,F
01,Alabama,01077,Lauderdale County,2020-02-24,F,F,F,F
01,Alabama,01063,Greene County,2020-04-19,C,,A,F
01,Alabama,01063,Greene County,2020-04-18,C,,A,F
01,Alabama,01063,Greene County,2020-04-17,C,,A,F
01,Alabama,01063,Greene County,2020-04-16,C,,A,F
01,Alabama,01063,Greene County,2020-04-15,C,,A,F
01,Alabama,01063,Greene County,2020-04-14,C,,A,F
01,Alabama,01063,Greene County,2020-04-13,C,,A,F
01,Alabama,01063,Greene County,2020-04-12,A-,,A,B
01,Alabama,01063,Greene County,2020-04-11,C,,A,F
01,Alabama,01063,Greene County,2020-04-10,C,,A,F
01,Alabama,01063,Greene County,2020-04-09,C,,A,F
01,Alabama,01063,Greene County,2020-04-08,C,,A,F
01,Alabama,01063,Greene County,2020-04-07,C,,A,F
01,Alabama,01063,Greene County,2020-04-06,C,,A,F
01,Alabama,01063,Greene County,2020-04-05,C,,A,F
01,Alabama,01063,Greene County,2020-04-04,C,,A,F
01,Alabama,01063,Greene County,2020-04-03,C,,A,F
01,Alabama,01063,Greene County,2020-04-02,C,,A,F
01,Alabama,01063,Greene County,2020-04-01,C,,A,F
01,Alabama,01063,Greene County,2020-03-31,C,,A,F
01,Alabama,01063,Greene County,2020-03-30,C,,A,F
01,Alabama,01063,Greene County,2020-03-29,C,,A,F
01,Alabama,01063,Greene County,2020-03-28,C,,A,F
01,Alabama,01063,Greene County,2020-03-27,C,,A,F
01,Alabama,01063,Greene County,2020-03-26,C,,A,F
01,Alabama,01063,Greene County,2020-03-25,C,,A,F
01,Alabama,01063,Greene County,2020-03-24,C,,A,F
01,Alabama,01063,Greene County,2020-03-23,C,,A,F
01,Alabama,01063,Greene County,2020-03-22,C,,A,F
01,Alabama,01063,Greene County,2020-03-21,C,,A,F
01,Alabama,01063,Greene County,2020-03-20,C,,A,F
01,Alabama,01063,Greene County,2020-03-19,C,,A,F
01,Alabama,01063,Greene County,2020-03-18,C,,A,F
01,Alabama,01063,Greene County,2020-03-17,C,,A,F
01,Alabama,01063,Greene County,2020-03-16,C,,A,F
01,Alabama,01063,Greene County,2020-03-15,C,,A,F
01,Alabama,01063,Greene County,2020-03-14,C,,A,F
01,Alabama,01063,Greene County,2020-03-13,C,,A,F
01,Alabama,01063,Greene County,2020-03-12,C,,A,F
01,Alabama,01063,Greene County,2020-03-11,C,,A,F
01,Alabama,01063,Greene County,2020-03-10,C,,A,F
01,Alabama,01063,Greene County,2020-03-09,C,,A,F
01,Alabama,01063,Greene County,2020-03-08,C,,A,F
01,Alabama,01063,Greene County,2020-03-07,C,,A,F
01,Alabama,01063,Greene County,2020-03-06,C,,A,F
01,Alabama,01063,Greene County,2020-03-05,C,,A,F
01,Alabama,01063,Greene County,2020-03-04,C,,A,F
01,Alabama,01063,Greene County,2020-03-03,C,,A,F
01,Alabama,01063,Greene County,2020-03-02,C,,A,F
01,Alabama,01063,Greene County,2020-03-01,C,,A,F
01,Alabama,01063,Greene County,2020-02-29,C-,,B,F
01,Alabama,01063,Greene County,2020-02-28,C,,A,F
01,Alabama,01063,Greene County,2020-02-27,C,,A,F
01,Alabama,01063,Greene County,2020-02-26,C,,A,F
01,Alabama,01063,Greene County,2020-02-25,C,,A,F
01,Alabama,01063,Greene County,2020-02-24,C,,A,F
01,Alabama,01085,Lowndes County,2020-04-19,B,,A,C
01,Alabama,01085,Lowndes County,2020-04-18,B-,,A,D
01,Alabama,01085,Lowndes County,2020-04-17,C,,A,F
01,Alabama,01085,Lowndes County,2020-04-16,B-,,A,D
01,Alabama,01085,Lowndes County,2020-04-15,C,,A,F
